Issue Type,Issue ID,Parent ID,Summary,Description,Assignee,Story Points,Status,Time Spent,
Sub-task,703,7,Order detail page with status stepper,"7-state stepper, item list, review entry point for delivered items.",malik,8,To Do,,0
Story,8,,Reviews and ratings,Verified-purchase reviews with denormalized product ratings.,mahmod,,In Progress,,0
Sub-task,801,8,Review CRUD with verified-purchase rule and denormalized ratings,Only delivered purchases can review; ratingAvg/reviewCount recalculated on every change.,mahmod,8,In Progress,28800,480
Sub-task,802,8,Review UI on the product page,"Star input, review list, verified badge, edit own review.",haya,5,To Do,,0
Sub-task,803,8,Review moderation with soft delete and audit entry,"Staff-only removal, isRemoved flag, audit log write.",malik,5,To Do,,0
Story,9,,Admin panel - inventory management,Role-scoped admin layout and all inventory manager pages.,haya,,In Progress,,0
Sub-task,901,9,Admin layout with role-scoped sidebar,"Collapsible sidebar, role filtering, top bar, View Store link.",haya,8,Done,57600,960
Sub-task,902,9,Product management CRUD UI,"DataTable listing, create/edit modal with variants, image upload, delete.",haya,13,In Progress,43200,720
Sub-task,903,9,Order fulfillment queue with status transitions,"All-orders table, status filter chips, guarded advance/cancel/refund controls.",malik,8,To Do,,
Sub-task,904,9,Coupon management and low stock alert pages,"Coupon list with activate/deactivate, alert list with resolve action.",mahmod,8,To Do,,
Story,10,,Super admin tools,"User management, analytics, and audit log viewer.",malik,,To Do,,
Sub-task,1001,10,User and role management with audited changes,"Paginated user list, role/status changes through audited endpoints.",malik,8,To Do,,
Sub-task,1002,10,Analytics endpoints for revenue top SKUs volume and growth,Aggregation pipelines over delivered orders and registrations with daily/weekly buckets.,mahmod,13,To Do,,
Sub-task,1003,10,Analytics dashboard with charts,"Stat cards, revenue trend, order volume and customer growth charts, top-SKU table.",haya,8,To Do,,
Sub-task,1004,10,Audit log viewer,Filterable table of privileged actions with before/after deltas.,malik,5,To Do,,
Story,11,,Automation and background jobs,"Recommendation engine, event tracking, and low-stock automation.",mahmod,,To Do,,
Sub-task,1101,11,Recommendation engine cron with co-occurrence computation,"Daily node-cron job, recency-weighted product pairs, top-10 upserts, cold-start fallback.",malik,13,To Do,,
Sub-task,1102,11,Product event tracking with client-side batching and TTL expiry,"Batched view events from the client, public batch endpoint, 180-day TTL.",malik,5,To Do,,
Sub-task,1103,11,Low-stock trigger and alert email stubs,"Threshold check on stock writes, duplicate-safe alert creation, mailer stub.",mahmod,5,To Do,,
